run_id,run_group,status,dataset,architecture,training_precision_regime,attack_eval_precision,pe_family,seed_scope,session,started_at,completed_at,elapsed_seconds,elapsed_hours,gpu,protocol_id,parameter_norm,pgd_steps,pgd_restarts,pgd_alpha_ratio,budget_grid,calibration_images,attack_images,eval_images,num_workers,split_hash,sample_order_hash,checkpoint_manifest_hash,code_hash,output_artifact_id,resume_or_reuse,notes
RUN-VITS-AMP-CONV-42-LEARNED,ViT-S AMP/full-FP16 cohort convergence transfer,PASS,ImageNet-100,ViT-S/16,AMP-trained cohort,PENDING_D033_PROVENANCE_AUDIT,learned,42,,2026-07-28T13:50:10.940871+00:00,2026-07-28T23:47:49.526173+00:00,,,FMLE GPU; exact environment pending D033a,VITS_FP16_CONVERGENCE_TRANSFER,global_rms,1600->3200,5,0.05,0.005,256,1280,3464,,043dbfcba0b659be8cf8498d84e5a1d396f59598e8840ccc4210b67aa7d6640c,4ed846efe0db71ffc43119eb46c884118d73b18101337fd59622960feaa3ada8,b3ec8d4a2b5449311f382ccafbf56c869ce76d304bb574cd2fc6a89fc9ad7dad,,ART-0036,Base and doubled schedules use matched restart seeds.,|ΔA_norm|=0.000371057514; |Δloss|=1.2871949e-05; |Δrho|=3.52830497e-07; selection=weak_cliff_match
RUN-VITS-AMP-CONV-42-SINUSOIDAL,ViT-S AMP/full-FP16 cohort convergence transfer,PASS,ImageNet-100,ViT-S/16,AMP-trained cohort,PENDING_D033_PROVENANCE_AUDIT,sinusoidal,42,,2026-07-29T00:09:11.156275+00:00,2026-07-29T01:17:51.628367+00:00,,,FMLE GPU; exact environment pending D033a,VITS_FP16_CONVERGENCE_TRANSFER,global_rms,200->400,5,0.05,0.007,256,1280,3464,,043dbfcba0b659be8cf8498d84e5a1d396f59598e8840ccc4210b67aa7d6640c,4ed846efe0db71ffc43119eb46c884118d73b18101337fd59622960feaa3ada8,b3ec8d4a2b5449311f382ccafbf56c869ce76d304bb574cd2fc6a89fc9ad7dad,,ART-0036,Base and doubled schedules use matched restart seeds.,|ΔA_norm|=0.000366703337; |Δloss|=0.000726819411; |Δrho|=3.40968719e-05; selection=inside_cliff
RUN-VITS-AMP-CONV-42-ROPE,ViT-S AMP/full-FP16 cohort convergence transfer,PASS,ImageNet-100,ViT-S/16,AMP-trained cohort,PENDING_D033_PROVENANCE_AUDIT,rope,42,,2026-07-29T01:27:30.520573+00:00,2026-07-29T03:16:45.223767+00:00,,,FMLE GPU; exact environment pending D033a,VITS_FP16_CONVERGENCE_TRANSFER,global_rms,200->400,5,0.05,0.075,256,1280,3464,,043dbfcba0b659be8cf8498d84e5a1d396f59598e8840ccc4210b67aa7d6640c,4ed846efe0db71ffc43119eb46c884118d73b18101337fd59622960feaa3ada8,b3ec8d4a2b5449311f382ccafbf56c869ce76d304bb574cd2fc6a89fc9ad7dad,,ART-0036,Base and doubled schedules use matched restart seeds.,|ΔA_norm|=0.000347463516; |Δloss|=0.000177613646; |Δrho|=2.44117799e-06; selection=inside_cliff
RUN-VITS-AMP-CONV-123-LEARNED,ViT-S AMP/full-FP16 cohort convergence transfer,PASS,ImageNet-100,ViT-S/16,AMP-trained cohort,PENDING_D033_PROVENANCE_AUDIT,learned,123,,2026-07-28T13:50:47.787397+00:00,2026-07-29T00:01:32.487874+00:00,,,FMLE GPU; exact environment pending D033a,VITS_FP16_CONVERGENCE_TRANSFER,global_rms,1600->3200,5,0.05,0.005,256,1280,3464,,043dbfcba0b659be8cf8498d84e5a1d396f59598e8840ccc4210b67aa7d6640c,4ed846efe0db71ffc43119eb46c884118d73b18101337fd59622960feaa3ada8,b3ec8d4a2b5449311f382ccafbf56c869ce76d304bb574cd2fc6a89fc9ad7dad,,ART-0036,Base and doubled schedules use matched restart seeds.,|ΔA_norm|=0.000371609067; |Δloss|=1.82908028e-05; |Δrho|=1.8572388e-07; selection=inside_cliff
RUN-VITS-AMP-CONV-123-SINUSOIDAL,ViT-S AMP/full-FP16 cohort convergence transfer,PASS,ImageNet-100,ViT-S/16,AMP-trained cohort,PENDING_D033_PROVENANCE_AUDIT,sinusoidal,123,,2026-07-29T00:23:54.482322+00:00,2026-07-29T01:37:09.430631+00:00,,,FMLE GPU; exact environment pending D033a,VITS_FP16_CONVERGENCE_TRANSFER,global_rms,200->400,5,0.05,0.0085,256,1280,3464,,043dbfcba0b659be8cf8498d84e5a1d396f59598e8840ccc4210b67aa7d6640c,4ed846efe0db71ffc43119eb46c884118d73b18101337fd59622960feaa3ada8,b3ec8d4a2b5449311f382ccafbf56c869ce76d304bb574cd2fc6a89fc9ad7dad,,ART-0036,Base and doubled schedules use matched restart seeds.,|ΔA_norm|=0.00183486239; |Δloss|=0.000379809737; |Δrho|=7.56720358e-05; selection=inside_cliff
RUN-VITS-AMP-CONV-123-ROPE,ViT-S AMP/full-FP16 cohort convergence transfer,PASS,ImageNet-100,ViT-S/16,AMP-trained cohort,PENDING_D033_PROVENANCE_AUDIT,rope,123,,2026-07-29T01:46:50.444395+00:00,2026-07-29T03:36:59.447126+00:00,,,FMLE GPU; exact environment pending D033a,VITS_FP16_CONVERGENCE_TRANSFER,global_rms,200->400,5,0.05,0.075,256,1280,3464,,043dbfcba0b659be8cf8498d84e5a1d396f59598e8840ccc4210b67aa7d6640c,4ed846efe0db71ffc43119eb46c884118d73b18101337fd59622960feaa3ada8,b3ec8d4a2b5449311f382ccafbf56c869ce76d304bb574cd2fc6a89fc9ad7dad,,ART-0036,Base and doubled schedules use matched restart seeds.,|ΔA_norm|=0.00173792145; |Δloss|=0.000961858034; |Δrho|=3.1466179e-05; selection=inside_cliff
RUN-VITB-HARM-LEARNED-400-800,ViT-B harmonization/convergence,COMPLETE,ImageNet-100,ViT-B/16,canonical ViT-B training cohort,PENDING_D033_PROVENANCE_AUDIT,learned,123,,2026-07-25T16:48:32.056133+00:00,2026-07-25T21:30:19.973611+00:00,,,FMLE GPU,VITB_HARMONIZATION,global_rms,800,5,0.05,"[0.0, 0.002, 0.00225, 0.0025]",256,1280,3464,,,,,,ART-0052,,Evidence used to lock harmonized ViT-B schedule; see v17/v18 closure package.
RUN-VITB-HARM-SINUSOIDAL-400-800,ViT-B harmonization/convergence,COMPLETE,ImageNet-100,ViT-B/16,canonical ViT-B training cohort,PENDING_D033_PROVENANCE_AUDIT,sinusoidal,123,,2026-07-25T16:49:00.590965+00:00,2026-07-25T23:59:39.414261+00:00,,,FMLE GPU,VITB_HARMONIZATION,global_rms,800,5,0.05,"[0.0, 0.006, 0.007, 0.008]",256,1280,3464,,,,,,ART-0054,,Evidence used to lock harmonized ViT-B schedule; see v17/v18 closure package.
RUN-VITB-HARM-ROPE-200-400,ViT-B harmonization/convergence,COMPLETE,ImageNet-100,ViT-B/16,canonical ViT-B training cohort,PENDING_D033_PROVENANCE_AUDIT,rope,123,,2026-07-25T17:43:56.123046+00:00,2026-07-25T23:44:25.686899+00:00,,,FMLE GPU,VITB_HARMONIZATION,global_rms,400,5,0.05,"[0.0, 0.05, 0.06, 0.07]",256,1280,3464,,,,,,ART-0053,,Evidence used to lock harmonized ViT-B schedule; see v17/v18 closure package.
RUN-VITB-HARM-ALIBI-100-200,ViT-B harmonization/convergence,COMPLETE,ImageNet-100,ViT-B/16,canonical ViT-B training cohort,PENDING_D033_PROVENANCE_AUDIT,alibi,123,,2026-07-25T17:53:19.793956+00:00,2026-07-25T19:51:16.731219+00:00,,,FMLE GPU,VITB_HARMONIZATION,global_rms,200,5,0.05,"[0.0, 0.005, 0.0125, 0.02]",256,1280,3464,,,,,,ART-0050,,Evidence used to lock harmonized ViT-B schedule; see v17/v18 closure package.
RUN-VITB-HARM-ALIBI-200-400,ViT-B harmonization/convergence,COMPLETE,ImageNet-100,ViT-B/16,canonical ViT-B training cohort,PENDING_D033_PROVENANCE_AUDIT,alibi,123,,2026-07-25T21:55:26.803940+00:00,2026-07-25T23:20:11.196434+00:00,,,FMLE GPU,VITB_HARMONIZATION,global_rms,400,5,0.05,"[0.0, 0.02]",256,1280,3464,,,,,,ART-0051,,Evidence used to lock harmonized ViT-B schedule; see v17/v18 closure package.
